,KNN,Naive,XGBoost,adaboost
0,0.6764410362789293,0.5342368228846559,0.6599307930455146,0.667595959526616
1,0.6833326815052675,0.5407423288718596,0.6600225219691456,0.6688456350590646
2,0.6818595946267619,0.5371579258078361,0.6638600514900053,0.673464263342556
3,0.6842376084858643,0.5002781000022531,0.664524999509712,0.6737153192513963
4,0.6838130146418943,0.49795835003641264,0.6661221014310823,0.6707916346256567
5,0.683268055845856,0.48864393586790694,0.667929464733143,0.668289888591358
6,0.6827022157433574,0.49530347242611067,0.6696040767557693,0.6663980648898017
7,0.6837973417946102,0.46278700968472486,0.6716640493143328,0.6653522725339386
8,0.6831639013812741,0.4264919393708605,0.6739429168441132,0.6639299013898935
9,0.6826736716504691,0.4013825420908755,0.6756702296717483,0.6639530750905375
10,0.6828172576250111,0.36661862717179455,0.6762529121201042,0.6627714531638416
11,0.680650876355194,0.330975562853214,0.6762961133733001,0.6599827305226312
12,0.6826586911700371,0.33292314494796715,0.6781649115251688,0.661348249569023
13,0.6830581816882256,0.2998095992969079,0.6768972417224248,0.6605174496873676
14,0.6833250628632696,0.30474299592478465,0.6789089021287574,0.6585889306616631
15,0.684472087657095,0.3043603432369333,0.6798651403214394,0.657740545842879
16,0.6829831874874105,0.2669344125915243,0.6805112259067774,0.655705752187152
17,0.6876810837622415,0.23661353216176478,0.6818072232732464,0.6594350225065476
18,0.6859009967793733,0.27520454715291753,0.6837577495667255,0.6627756141169188
19,0.6866515692729213,0.24253610251872537,0.6824038484753526,0.6632936602526536
20,0.6851054619988882,0.221121698541621,0.6802927946598252,0.6660959484465759
21,0.6878377711184641,0.219452349671833,0.6813937629735622,0.6679197821531638
22,0.6852869138331995,0.24326725624454765,0.6805278242469098,0.6668165075788788
23,0.6880541353662337,0.28062326363778023,0.6802237127806284,0.6710523251629013
24,0.6896833944523739,0.27342531939834347,0.6815862666735193,0.6737449375088088
25,0.6893326028209861,0.27355096744204166,0.6827802572081219,0.6767641070320742
26,0.6889660799835887,0.27290909348871123,0.6844940548533335,0.6776759204836362
27,0.6877017045484791,0.2788899722889346,0.6848674178650245,0.6774355829062971
28,0.6861205882020307,0.3126611696756328,0.6854550427128749,0.6818317269478226
29,0.6873516308699412,0.31078866237771796,0.6847160383750721,0.6839501551780713
30,0.6866320942665122,0.3177141313612174,0.6851878139990552,0.6875255420528525
